account_name,metric_type,period_start,period_end,value,unit,source
Precision Manufacturing Co,sla_adherence_percent,2024-10-01,2024-10-31,92,percent,ops_system
Precision Manufacturing Co,otif_percent,2024-10-01,2024-10-31,88,percent,logistics_system
Precision Manufacturing Co,first_pass_yield_percent,2024-10-01,2024-10-31,94,percent,quality_system
Precision Manufacturing Co,unplanned_downtime_hours,2024-10-01,2024-10-31,6,hours,maintenance_system
Precision Manufacturing Co,mttr_hours,2024-10-01,2024-10-31,2.5,hours,maintenance_system
Precision Manufacturing Co,mtbf_hours,2024-10-01,2024-10-31,120,hours,maintenance_system
Precision Manufacturing Co,line_stops_count,2024-10-01,2024-10-31,8,count,production_system
AutoParts Industries,sla_adherence_percent,2024-10-01,2024-10-31,85,percent,ops_system
AutoParts Industries,otif_percent,2024-10-01,2024-10-31,80,percent,logistics_system
AutoParts Industries,first_pass_yield_percent,2024-10-01,2024-10-31,88,percent,quality_system
AutoParts Industries,unplanned_downtime_hours,2024-10-01,2024-10-31,12,hours,maintenance_system
AutoParts Industries,mttr_hours,2024-10-01,2024-10-31,3.8,hours,maintenance_system
AutoParts Industries,mtbf_hours,2024-10-01,2024-10-31,85,hours,maintenance_system
AutoParts Industries,line_stops_count,2024-10-01,2024-10-31,15,count,production_system
